Name	Reel	Media Start	Media End	Tracks	Comment 1	Log Note
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_80_MOV	VTZT10_039	01:12:02:12	01:12:15:09	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_125_MOV	VTZT10_041	01:12:07:21	01:12:15:09	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_115_MOV	VTZT10_041	01:12:15:09	01:12:22:15	1V,4A		
TEXT	Tape_001	01:12:22:15	01:12:26:11	1V,4A		
FX_SHOTS_MOV	VTZT10_048	01:12:26:11	01:12:33:00	1V,4A		
unknown	Tape_001	01:12:32:13	01:13:38:05	1V,4A		
unknown	Tape_001	01:13:38:05	01:13:39:05	1V,4A		
HAINBURG_KULTURFABRIK_AUSSEN_HINTEREINGANG_LIFT_08_MOV	VTZT10_007	01:12:33:00	01:12:40:19	1V,4A		
HAINBURG_KULTURFABRIK_IM_LIFT_04_MOV	VTZT10_007	01:12:40:19	01:12:47:08	1V,4A		
HAINBURG_KULTURFABRIK_TERRASSE_13_MOV	VTZT10_007	01:12:47:08	01:12:50:18	1V,4A		
unknown	Tape_001	01:12:47:18	01:12:54:09	1V,4A		
HAINBURG_KULTURFABRIK_TERRASSE_20_MOV	VTZT10_007	01:12:50:18	01:12:54:09	1V,4A		
HAINBURG_KULTURFABRIK_TERRASSE_04_MOV	VTZT10_007	01:12:54:09	01:12:57:21	1V,4A		
HAINBURG_KULTURFABRIK_TERRASSE_02_MOV	VTZT10_007	01:12:57:21	01:13:05:21	1V,4A		
HAINBURG_KULTURFABRIK_VORDEREINGANG_01_MOV	VTZT10_007	01:13:05:21	01:13:08:16	1V,4A		
HAINBURG_KULTURFABRIK_INNEN_EINGAGSBEREICH_17_MOV	VTZT10_007	01:13:08:16	01:13:10:24	1V,4A		
HAINBURG_KULTURFABRIK_INNEN_EINGAGSBEREICH_19_MOV	VTZT10_007	01:13:10:24	01:13:13:06	1V,4A		
HAINBURG_KULTURFABRIK_INNEN_EINGAGSBEREICH_05_MOV	VTZT10_007	01:13:13:06	01:13:17:14	1V,4A		
HAINBURG_KULTURFABRIK_VERANSTALTUNG_13_MOV	VTZT10_007	01:13:17:14	01:13:20:10	1V,4A		
HAINBURG_KULTURFABRIK_VERANSTALTUNG_12_MOV	VTZT10_007	01:13:20:10	01:13:23:23	1V,4A		
HAINBURG_KULTURFABRIK_VERANSTALTUNG_18_MOV	VTZT10_007	01:13:23:23	01:13:27:05	1V,4A		
HAINBURG_KULTURFABRIK_VERANSTALTUNG_29_MOV	VTZT10_007	01:13:27:05	01:13:31:02	1V,4A		
